uniprot_id,pdb_id,accession,all_goa_terms,chain_id
S13A3_HUMAN,8UVC,Q8WWT9,"GO:0005310, GO:0005886, GO:0006835, GO:0015139, GO:0015141, GO:0015362, GO:0016323, GO:0017153, GO:0034634, GO:0034775, GO:0071422",A
S13A5_HUMAN,7JSJ,Q86YT5,"GO:0005343, GO:0005654, GO:0005829, GO:0005886, GO:0015137, GO:0015729, GO:0015741, GO:0015742, GO:0015744, GO:0015746, GO:0042802, GO:0071285",A
S14L2_HUMAN,1O6U,O76054,"GO:0005654, GO:0005829",A
S15A1_HUMAN,7PMW,P46059,"GO:0005886, GO:0006811, GO:0015333, GO:0016324, GO:0042937, GO:0071916, GO:0140206",A
S15A1_MOUSE,5A9D,Q9JIP7,"GO:0005427, GO:0005903, GO:0006857, GO:0015333, GO:0016020, GO:0071916, GO:0140206",A
S15A2_HUMAN,7PMY,Q16348,"GO:0015333, GO:0030670, GO:0071916, GO:0140206, GO:0140367",A
S15A2_RAT,5A9H,Q63424,"GO:0015333, GO:0016324, GO:0042937, GO:0042938, GO:0071916, GO:0072237, GO:0140206, GO:0140207",A
S15A3_HUMAN,8WX2,Q8IY34,"GO:0006811, GO:0015333, GO:0043231, GO:0071916, GO:0140206",A
S15A3_MOUSE,8WX1,Q8BPX9,"GO:0005765, GO:0010008, GO:0015647, GO:0015835, GO:0070434",A
S15A4_HUMAN,8JZR,Q8N697,"GO:0005290, GO:0005765, GO:0005886, GO:0006811, GO:0015333, GO:0015647, GO:0015835, GO:0034157, GO:0034161, GO:0034165, GO:0035579, GO:0036020, GO:0045089, GO:0071916, GO:0140206",B
S17A5_HUMAN,8DWI,Q9NRA2,"GO:0005351, GO:0005765, GO:0005829, GO:0005886, GO:0006811, GO:0006820, GO:0015135, GO:0015136, GO:0015538, GO:0015739, GO:0016020, GO:0042880, GO:1901264",A
S18B1_HUMAN,9D7U,Q6NT16,"GO:0000296, GO:0015311, GO:0015312, GO:0015848, GO:0051610",A
S19A1_HUMAN,7TX6,P41440,"GO:0005886, GO:0008517, GO:0008518, GO:0015297, GO:0015350, GO:0015884, GO:0016323, GO:0016324, GO:0046655, GO:0051958, GO:0061507, GO:0098838, GO:0140360, GO:0140361, GO:0141111, GO:0150104, GO:1904447",A
S19A2_HUMAN,8Z7Z,O60779,"GO:0005886, GO:0015234, GO:0015888, GO:0031923, GO:0042723",A
S19A3_HUMAN,8S4U,Q9BZV2,"GO:0015888, GO:0031923, GO:0042723",A
S1A7A_HUMAN,4AQI,Q86SG5,"GO:0005829, GO:0042802",A
S1PR1_HUMAN,3V2W,P21453,"GO:0001664, GO:0003376, GO:0004930, GO:0005654, GO:0005886, GO:0007155, GO:0007186, GO:0038036, GO:0043231, GO:0072678",A
S1PR2_HUMAN,7T6B,O95136,"GO:0001664, GO:0003376, GO:0004930, GO:0005178, GO:0005886, GO:0007186, GO:0008284, GO:0008289, GO:0008528, GO:0010800, GO:0030036, GO:0038036, GO:0046847, GO:1903142",R
S1PR3_HUMAN,7C4S,Q99500,"GO:0005178, GO:0005886, GO:0006954, GO:0007186, GO:0007204, GO:0008284, GO:0008289, GO:0009653, GO:1903141",A
S1PR4_HUMAN,2DCO,O95977,"GO:0003376, GO:0005739, GO:0007186, GO:0008289",A
S22A1_HUMAN,8ET6,O15245,"GO:0005277, GO:0005326, GO:0005886, GO:0006805, GO:0006836, GO:0006837, GO:0008504, GO:0008514, GO:0009925, GO:0015101, GO:0015132, GO:0015214, GO:0015489, GO:0015651, GO:0015695, GO:0015697, GO:0015732, GO:0015844, GO:0015847, GO:0015870, GO:0015872, GO:0015874, GO:0015888, GO:0016020, GO:0016323, GO:0016324, GO:0016328, GO:0019534, GO:0042908, GO:0042910, GO:0048241, GO:0051610, GO:0071934, GO:0072530, GO:0090494, GO:1990748",A
S22A2_HUMAN,8ET9,O15244,"GO:0005275, GO:0005277, GO:0005326, GO:0005886, GO:0006836, GO:0006837, GO:0007589, GO:0008504, GO:0008514, GO:0009925, GO:0015101, GO:0015132, GO:0015179, GO:0015214, GO:0015220, GO:0015234, GO:0015489, GO:0015562, GO:0015651, GO:0015695, GO:0015732, GO:0015837, GO:0015847, GO:0015870, GO:0015871, GO:0015872, GO:0015874, GO:0016020, GO:0016324, GO:0019534, GO:0042908, GO:0042910, GO:0048241, GO:0051608, GO:0051610, GO:0051615, GO:0051620, GO:0061459, GO:0071934, GO:0072530, GO:0089718, GO:0090494, GO:0097638, GO:0140115, GO:1902475, GO:1990748",A
S22A3_HUMAN,7ZH0,O75751,"GO:0001692, GO:0005326, GO:0005886, GO:0006836, GO:0006837, GO:0008504, GO:0015101, GO:0015651, GO:0015695, GO:0015697, GO:0015844, GO:0015872, GO:0015874, GO:0016020, GO:0016323, GO:0016324, GO:0019534, GO:0042908, GO:0048241, GO:0051608, GO:0051610, GO:0051615, GO:0051620, GO:0051625, GO:0072530, GO:0090494, GO:1990748",A
S22A6_HUMAN,9J02,Q4U2R8,"GO:0005452, GO:0005886, GO:0008514, GO:0009925, GO:0015132, GO:0015139, GO:0015297, GO:0015347, GO:0015711, GO:0015732, GO:0015742, GO:0016323, GO:0022857, GO:0042910, GO:0043252, GO:0097254",A
S22A6_RAT,8BVR,O35956,"GO:0005901, GO:0008514, GO:0015132, GO:0015297, GO:0015347, GO:0015711, GO:0015732, GO:0031404, GO:0032991, GO:0042802, GO:0043252, GO:0072237",A
S22AB_HUMAN,8WJH,Q9NSA0,"GO:0005452, GO:0005886, GO:0008514, GO:0009897, GO:0015132, GO:0015347, GO:0015711, GO:0015732, GO:0016324, GO:0046415",A
S22AC_HUMAN,8WJG,Q96S37,"GO:0005886, GO:0009410, GO:0015143, GO:0015747, GO:0016020, GO:0016324, GO:0030165, GO:0046415",A
S22AC_RAT,9J5W,Q3ZAV1,"GO:0015747, GO:0016324, GO:0032869, GO:0097744",A
S23A1_HUMAN,8JEW,Q9UHI7,"GO:0005886, GO:0006814, GO:0008520, GO:0009636, GO:0015081, GO:0015143, GO:0015205, GO:0015229, GO:0015851, GO:0015882, GO:0016324, GO:0019852, GO:0033300, GO:0043229, GO:0070837",A
S23A1_MOUSE,7YTW,Q9Z2J0,"GO:0005737, GO:0005886, GO:0007420, GO:0008520, GO:0009925, GO:0015143, GO:0015229, GO:0015882, GO:0030324",A
S2512_HUMAN,4P5X,O75746,"GO:0000514, GO:0000515, GO:0005509, GO:0005739, GO:0005743, GO:0015810, GO:0015813, GO:0042802, GO:0043490, GO:0051592",A
S2513_HUMAN,4P5W,Q9UJS0,"GO:0000514, GO:0000515, GO:0005509, GO:0005739, GO:0005743, GO:0006754, GO:0015810, GO:0015813, GO:0042802, GO:0043490, GO:0045333, GO:0051592",A
S26A2_HUMAN,7XLM,P50443,"GO:0005452, GO:0005886, GO:0015116, GO:0016020, GO:0019531, GO:0019532, GO:1902358",A
S26A3_HUMAN,7XUH,P40879,"GO:0005452, GO:0005886, GO:0006811, GO:0006820, GO:0140900",A
S26A4_MOUSE,7WK1,Q9R155,"GO:0006885, GO:0016020, GO:0016324, GO:0031526, GO:0032880, GO:0140900",A
S26A5_CHICK,5EZB,A0FKN5,"GO:0160044, GO:0160046",A
S26A5_HUMAN,7LGU,P58743,"GO:0007605, GO:0016328, GO:0042803",A
S26A5_MERUN,7SUN,Q9JKQ2,GO:0016323,A
S26A5_RAT,3LLO,Q9EPH0,"GO:0002931, GO:0003774, GO:0006821, GO:0009410, GO:0009751, GO:0010996, GO:0015701, GO:0015755, GO:0016323, GO:0016328, GO:0019532, GO:0034220, GO:0034766, GO:0035864, GO:0042802, GO:0045793, GO:0090102, GO:0097066, GO:0098656, GO:0140900, GO:1902074, GO:1902476, GO:2000147",A
S26A5_TURTR,7S8X,D7PC76,GO:0099129,A
S26A6_HUMAN,8OPQ,Q9BXS9,"GO:0005452, GO:0005829, GO:0005886, GO:0006811, GO:0006821, GO:0015106, GO:0015108, GO:0015116, GO:0015383, GO:0015701, GO:0016020, GO:0016323, GO:0016324, GO:0019531, GO:0019532, GO:0030321, GO:0031526, GO:0038166, GO:0042802, GO:0051453, GO:0070528, GO:0071346, GO:0140900, GO:1902358",A
S26A7_HUMAN,9IKV,Q8TE54,"GO:0005254, GO:0005737, GO:0005768, GO:0006811, GO:0006821, GO:0015116, GO:0015705, GO:0016323, GO:0016324, GO:0016328, GO:0019531, GO:0019532, GO:0140900, GO:1902358",A
S26A9_HUMAN,7CH1,Q7LBE3,"GO:0000139, GO:0005254, GO:0005452, GO:0005789, GO:0005886, GO:0006811, GO:0006820, GO:0006821, GO:0009986, GO:0010008, GO:0010628, GO:0016324, GO:0051117, GO:1902476",A
S26A9_MOUSE,6RTC,Q8BU91,"GO:0005254, GO:0006820, GO:0006821, GO:0006885, GO:0015106, GO:0015701, GO:0016324, GO:0042802, GO:0140900",A
S28A3_HUMAN,6KSW,Q9HAS3,"GO:0005415, GO:0006805, GO:0006855, GO:0015213, GO:0015862, GO:0072531, GO:1901642",A
S29A1_HUMAN,6OB6,Q99808,"GO:0005326, GO:0005337, GO:0005886, GO:0006139, GO:0006805, GO:0006836, GO:0006855, GO:0015207, GO:0015208, GO:0015210, GO:0015211, GO:0015212, GO:0015213, GO:0015389, GO:0015851, GO:0015853, GO:0015858, GO:0015860, GO:0015861, GO:0015862, GO:0016323, GO:0016324, GO:0032238, GO:0035340, GO:0035344, GO:0035364, GO:0072531, GO:1901642, GO:1903716, GO:1903791, GO:1904082, GO:1904823",A
S2A4R_HUMAN,7DTA,Q9NR83,"GO:0003700, GO:0006355, GO:0016607",A
S35A1_MOUSE,6OH2,Q61420,"GO:0000139, GO:0005456, GO:0006054, GO:0006055, GO:0015297, GO:0015782, GO:0016020",A
S35B1_HUMAN,9GRY,P78383,"GO:0005471, GO:0005654, GO:0005783, GO:0005789, GO:0043231",A
S38A9_DANRE,6C08,Q08BA4,"GO:0006110, GO:0006111, GO:0006520, GO:0015190, GO:0015820, GO:0016020, GO:0034618, GO:0061459, GO:0140785, GO:1900037",C
S39A4_PTEAL,4X82,L5KLU7,"GO:0005385, GO:0042802, GO:0071577",A
S39A7_HUMAN,8GZE,Q92504,"GO:0005385, GO:0005654, GO:0005783, GO:0005789, GO:0006882, GO:0016020, GO:0030183, GO:0071577, GO:0110075",D
S3AD_SALTY,4CS6,Q8ZPX9,"GO:0005524, GO:0009012, GO:0046677",A
S40A1_HUMAN,6W4S,Q9NP59,"GO:0005381, GO:0005654, GO:0005737, GO:0005829, GO:0005886, GO:0006879, GO:0015093, GO:0016020, GO:0016323, GO:0017046, GO:0034755",F
S45A4_HUMAN,9GIU,Q5BKX6,"GO:0000297, GO:0005886, GO:0015203, GO:0015489, GO:0015606, GO:0019233",A
S4A11_HUMAN,7X1G,Q8NBS3,"GO:0005272, GO:0005372, GO:0006814, GO:0015078, GO:0015106, GO:0015252, GO:0015701, GO:0016323, GO:0016324, GO:0030003, GO:0034599, GO:0046713, GO:0046715, GO:0046983, GO:0051881, GO:0071476, GO:1902600",A
S4A4_HUMAN,6CAA,Q9Y6R1,"GO:0005829, GO:0005886, GO:0006814, GO:0008510, GO:0009986, GO:0015293, GO:0015701, GO:0016020, GO:0016323, GO:0035725, GO:0036376, GO:0042391, GO:0042802, GO:0045821, GO:0051453, GO:0055085",A
S4A7_HUMAN,9OVR,Q9Y6M7,"GO:0005886, GO:0006164, GO:0006221, GO:0008510, GO:0016020, GO:0016323, GO:0071363, GO:0090383",A
S4A8_HUMAN,5JHO,Q2Y0W8,"GO:0005452, GO:0005886, GO:0008270, GO:0008510, GO:0015081, GO:0015106, GO:0015108, GO:0015701, GO:0030425, GO:0035725, GO:0042391, GO:0042802, GO:0051453, GO:0140892, GO:1902476",A
S4A8_RAT,7RTM,Q6RVG2,"GO:0005886, GO:0008021, GO:0016323, GO:0030672, GO:0032279, GO:0032280, GO:0042802, GO:0043005, GO:0043195, GO:0043679, GO:0051453, GO:0097386, GO:0097457, GO:0098793, GO:0098978, GO:0110010, GO:0140892",A
S52A2_HUMAN,8XSM,Q9HAB3,"GO:0005886, GO:0006771, GO:0032217, GO:0032218, GO:0062124",A
S52A3_HUMAN,8XSN,Q9NQ40,"GO:0005634, GO:0005737, GO:0005886, GO:0006771, GO:0007605, GO:0032217, GO:0032218",A
S53A1_DROME,9JXR,Q9VRR2,"GO:0005315, GO:0008285, GO:0030643, GO:0031090, GO:0043508, GO:0140255",A
S53A1_HUMAN,5IJH,Q9UBH6,"GO:0000822, GO:0005315, GO:0005886, GO:0015562, GO:0030643, GO:0035435",A
S5A2_HUMAN,7BW1,P31213,"GO:0005789, GO:0006702, GO:0007267, GO:0008209, GO:0008584, GO:0030283, GO:0047045, GO:0047751, GO:0061370",A
S6A11_HUMAN,9CP4,P48066,"GO:0005332, GO:0008028, GO:0015718, GO:0016020, GO:0051936",A
S9AD_ENTFL,6SXJ,Q07448,GO:0046677,A
SAA1_HUMAN,4IP8,P0DJI8,"GO:0001664, GO:0001819, GO:0005576, GO:0005881, GO:0007204, GO:0045785, GO:0048246, GO:0048247, GO:0071682",A
SAA2_MOUSE,6DSO,P05367,GO:0035634,A
SAA3_MOUSE,4Q5G,P04918,"GO:0005615, GO:0009617, GO:0035634, GO:0035662, GO:0042056, GO:0060326, GO:0071347",A
SABP2_TOBAC,1XKL,Q6RYA0,"GO:0009862, GO:0016298, GO:0080031",A
SAC1_YEAST,3LWT,P32368,"GO:0000139, GO:0004438, GO:0005789, GO:0005797, GO:0017059, GO:0032541, GO:0043812, GO:0046856, GO:0052629, GO:0061909, GO:0072517",X
SAC2_HUMAN,4XUU,Q9Y2H2,"GO:0001921, GO:0005769, GO:0006661, GO:0031901, GO:0034595, GO:0034596, GO:0042532, GO:0042803, GO:0043231, GO:0045334, GO:0046856, GO:0055037, GO:2000145, GO:2001135",A
SAC3_YEAST,3FWB,P46674,"GO:0000278, GO:0000973, GO:0006283, GO:0006406, GO:0006611, GO:0030029, GO:0031124, GO:0042274, GO:0044614, GO:0060090, GO:0070390, GO:0071028",B
SACA3_MOUSE,4YF2,Q9D9X8,"GO:0001669, GO:0007342, GO:0035036",A
SACA6_HUMAN,7TA2,W5XKT8,"GO:0005886, GO:0030674, GO:0035036",A
SACS_HUMAN,1IUR,Q9NZJ4,"GO:0005634, GO:0005737, GO:0005739, GO:0030424, GO:0030425, GO:0030544, GO:0042802, GO:0050750, GO:0051087, GO:0070628, GO:0070852, GO:0090084",A
SAD1_SCHPO,6A6W,Q09825,"GO:0005637, GO:0030674, GO:0031021, GO:0032121, GO:0034993, GO:0035861, GO:0035974, GO:0044732, GO:0061497, GO:0071957, GO:0071958, GO:0072766, GO:0090619, GO:0106166, GO:0140480, GO:1990612",B
SAD1_YEAST,4MSX,P43589,"GO:0000245, GO:0000398, GO:0005634",A
SAD_ECOLI,8QMQ,P76149,"GO:0004777, GO:0006527, GO:0009013, GO:0009447, GO:0009450, GO:0042803, GO:0070458",A
SAE1_HUMAN,8VY5,Q9UBE0,"GO:0004839, GO:0005654, GO:0008047, GO:0016925, GO:0031510, GO:0033235, GO:0043008, GO:0044388, GO:0046982",A
SAE2_HUMAN,1Y8Q,Q9UBT2,"GO:0000287, GO:0005524, GO:0005654, GO:0005730, GO:0016925, GO:0019948, GO:0031510, GO:0032183, GO:0033235, GO:0044388, GO:0044390, GO:0046982",B
SAHH2_HUMAN,3MTG,O43865,"GO:0005789, GO:0006915, GO:0010765, GO:0031440, GO:0032412, GO:0038166, GO:0042802, GO:0044233, GO:0051592, GO:1990456",A
SAHH_HUMAN,1A7A,P23526,"GO:0004013, GO:0005829",A
SAHH_MOUSE,5AXA,P50247,"GO:0004013, GO:0005507, GO:0005829, GO:0033528, GO:0042802, GO:0051287",A
SAHH_MYCTU,2ZIZ,P9WGV3,"GO:0004013, GO:0005576, GO:0009087, GO:0035375, GO:0035635, GO:0044650, GO:0046085, GO:0070403",A
SAHH_RAT,1B3R,P10760,"GO:0001666, GO:0002439, GO:0004013, GO:0007584, GO:0019510, GO:0030554, GO:0042745, GO:0042802, GO:0051287, GO:0098604",A
SAK_BPSPC,1C76,P68802,"GO:0044542, GO:0141203",A
SALL4_HUMAN,7Y3I,Q9UJQ4,"GO:0005654, GO:0043231",A
SALL4_MOUSE,8A4I,Q8BX22,"GO:0000122, GO:0000792, GO:0001701, GO:0001833, GO:0001843, GO:0003281, GO:0005634, GO:0005667, GO:0007507, GO:0008134, GO:0009888, GO:0010467, GO:0019827, GO:0021915, GO:0030326, GO:0032991, GO:0035019, GO:0045944",I
SALL_SALTO,2Q6I,A4X3Q0,GO:0016765,A
SALR_PAPSO,3O26,Q071N0,"GO:0047037, GO:0050661, GO:0097295",A
SAM35_YEAST,7BTW,P14693,"GO:0001401, GO:0005739, GO:0005741, GO:0030150, GO:0045040, GO:0070096",B
SAM37_YEAST,7BTX,P50110,"GO:0001401, GO:0005739, GO:0015914, GO:0030150, GO:0045040, GO:0070096",C
SAM50_HUMAN,6YOO,Q9Y512,"GO:0001401, GO:0005739, GO:0005741, GO:0007007, GO:0016020, GO:0030150, GO:0042407",B
SAMD1_HUMAN,6LUI,Q6SPF0,"GO:0003682, GO:0005634, GO:0051260, GO:0160217",A
SAMD8_HUMAN,8IJQ,Q96LT4,"GO:0005783, GO:0005789, GO:0005829, GO:0046513, GO:2000303",A
SAMD9_HUMAN,7KSP,Q5K651,"GO:0005737, GO:0005829, GO:0034058, GO:0043231",A
SAMH1_CAEEL,6PWY,Q09374,"GO:0006203, GO:0008832, GO:0009264, GO:0042803, GO:0106375",A
SAMH1_HUMAN,2E8O,Q9Y3Z3,"GO:0000724, GO:0003676, GO:0003697, GO:0003723, GO:0004540, GO:0005634, GO:0005654, GO:0005886, GO:0006203, GO:0006974, GO:0008270, GO:0008832, GO:0009264, GO:0032567, GO:0035861, GO:0042802, GO:0045088, GO:0046061, GO:0051289, GO:0051607, GO:0060339, GO:0097197, GO:0106375, GO:0110025",A
SAMH1_MOUSE,6BRG,Q60710,"GO:0008832, GO:0016446, GO:0016793, GO:0046061, GO:0051289, GO:0051607, GO:0060339",A
SAMN1_HUMAN,6UZJ,Q9NSI8,"GO:0001784, GO:0005634",A
SAMN1_MOUSE,1V38,P57725,"GO:0002820, GO:0005634, GO:0005829, GO:0050732, GO:0050869",A
SAMP1_HALVD,2L83,D4GUF6,"GO:0031386, GO:0032446",A
SAMP2_HALVD,2L32,D4GZE7,"GO:0031386, GO:0032446",A
SAMP_HUMAN,1GYK,P02743,"GO:0001849, GO:0002674, GO:0005509, GO:0005615, GO:0006457, GO:0006953, GO:0042802, GO:0044871, GO:0045087, GO:0045656, GO:0046597, GO:0046790, GO:0048525, GO:0051082, GO:0051131, GO:0061045, GO:1903019",A
SAMTR_DROME,7VKK,Q9W138,"GO:0034198, GO:0061431, GO:0140785, GO:1904047, GO:1904262",A
SAO1_CAEEL,7Y8W,C6KRN1,"GO:0005737, GO:0005938, GO:0032154, GO:0045746, GO:0060625, GO:0071987",E
SAP18_HUMAN,2HDE,O00422,"GO:0000118, GO:0000381, GO:0005654, GO:0005829, GO:0006357, GO:0016604, GO:0016607, GO:0043065, GO:0048025, GO:0061574",A
SAP18_MOUSE,4A6Q,O55128,GO:0005654,A
SAP1_SCHPO,5B7J,P40847,"GO:0000785, GO:0003677, GO:0007534, GO:0008301, GO:0031582, GO:0043110, GO:0043565, GO:0071170, GO:1902985, GO:1990837",A
SAP30_HUMAN,2KDP,O75446,"GO:0000118, GO:0000122, GO:0003714, GO:0005654",A
SAP3_HUMAN,1G13,P17900,"GO:0005576, GO:0005829, GO:0030290, GO:0035578, GO:0043202, GO:0043231, GO:0046479",A
SAP3_MOUSE,2AGC,Q60648,"GO:0004563, GO:0006689, GO:0007611, GO:0008047, GO:0009313, GO:0019915, GO:0050877, GO:0050885",A
SAP_HUMAN,1M12,P07602,"GO:0002020, GO:0005543, GO:0005615, GO:0005764, GO:0005765, GO:0005770, GO:0005886, GO:0007041, GO:0008047, GO:0010467, GO:0010506, GO:0035577, GO:0042802, GO:0042803, GO:0043202, GO:0043231, GO:0097110, GO:1903771, GO:1905572, GO:1905573, GO:1905574, GO:1905575, GO:1905576, GO:1905577",A
SAP_MOUSE,5NXB,Q61207,"GO:0001664, GO:0001865, GO:0003335, GO:0005576, GO:0005737, GO:0005764, GO:0006643, GO:0006664, GO:0006665, GO:0006672, GO:0006678, GO:0006683, GO:0006886, GO:0007193, GO:0007605, GO:0009306, GO:0010467, GO:0016235, GO:0019216, GO:0019882, GO:0021702, GO:0030882, GO:0034614, GO:0042552, GO:0042802, GO:0043408, GO:0043410, GO:0048589, GO:0050877, GO:0050885, GO:0060073, GO:0060736, GO:0060742, GO:0070841, GO:0090102, GO:0090659, GO:1903575, GO:1905146",C
SAR1A_HUMAN,2GAO,Q9NR31,"GO:0003925, GO:0005765, GO:0006888, GO:0030127, GO:0048208, GO:0070971, GO:0090110, GO:0140785, GO:1903432, GO:1904262, GO:1990253",A
SAR1B_CRIGR,1F6B,Q9QVY3,GO:0005789,A
SAR1B_HUMAN,8E0A,Q9Y6B6,"GO:0002474, GO:0003925, GO:0005765, GO:0005789, GO:0005829, GO:0006888, GO:0012507, GO:0030127, GO:0032368, GO:0042953, GO:0048208, GO:0055088, GO:0070971, GO:0090110, GO:0140785, GO:1903432, GO:1904262, GO:1990253",A
SAR1_YEAST,1M2O,P20606,"GO:0000266, GO:0003400, GO:0003924, GO:0005783, GO:0006998, GO:0007006, GO:0016050, GO:0030127, GO:0044233, GO:0061024, GO:0070863, GO:0070971, GO:1902953",B
SARAF_HUMAN,6O2U,Q96BY9,"GO:0005783, GO:0005789, GO:0140268, GO:2001256",A
SARCO_HUMAN,1JDM,O00631,"GO:0016529, GO:1901894, GO:1901895",A
SARM1_CAEEL,8P2M,Q86DA5,"GO:0001708, GO:0003953, GO:0005737, GO:0007267, GO:0008104, GO:0010628, GO:0010629, GO:0019677, GO:0019901, GO:0030424, GO:0031267, GO:0035591, GO:0042427, GO:0042742, GO:0042802, GO:0044297, GO:0045944, GO:0048678, GO:0050829, GO:0050832, GO:0140367, GO:1904115",A
SARM1_DROME,7LCY,Q6IDD9,"GO:0003953, GO:0005829, GO:0019677, GO:0043005, GO:0043025, GO:0048678, GO:0051607, GO:0097677, GO:0140374, GO:1904894",A
SARM1_HUMAN,6O0Q,Q6SZW1,"GO:0003953, GO:0005739, GO:0005829, GO:0019677, GO:0042802, GO:0048678, GO:0061809",A
SARNP_HUMAN,2DO1,P82979,"GO:0000346, GO:0005654, GO:0006406, GO:0016607, GO:0036464",A
SART3_HUMAN,2DO4,Q15020,"GO:0000244, GO:0000387, GO:0000398, GO:0005634, GO:0005654, GO:0006334, GO:0010468, GO:0015030, GO:0017070, GO:0030621, GO:0030624, GO:0030674, GO:0042393, GO:0051252, GO:0140673, GO:1990381",A
SART3_YEAST,2GHP,P49960,"GO:0000244, GO:0000245, GO:0005634, GO:0005681, GO:0005688, GO:0017069, GO:0017070",A
SAS5_CAEEL,4YNH,Q20010,"GO:0005737, GO:0005814, GO:0007099",A
SAS6_CAEEL,3PYI,O62479,"GO:0005737, GO:0005814, GO:0007099, GO:0008104, GO:0019904, GO:0042802, GO:0051726",A
SAS6_DANRE,2Y3V,Q7ZVT3,"GO:0000280, GO:0005813, GO:0007052, GO:0007283, GO:0040016, GO:0051298",A
SAS6_DROME,5AL7,Q9VAC8,"GO:0005813, GO:0005814, GO:0007098, GO:0007099, GO:0010457, GO:0032053, GO:0036064, GO:0071539, GO:0098534",A
SAS6_HUMAN,6YS4,Q6UVJ0,"GO:0005737, GO:0005813, GO:0005814, GO:0007099, GO:0046601, GO:0051298, GO:0120099, GO:1900087",A
SASA_SYNE7,1T4Y,Q06904,"GO:0000155, GO:0007623, GO:0097167",A
SASG_STAA8,3TIP,Q2G2B2,GO:0090609,A
SASH1_HUMAN,2DL0,O94885,"GO:0000209, GO:0001965, GO:0005654, GO:0005737, GO:0005829, GO:0010595, GO:0010632, GO:0019901, GO:0031435, GO:0031666, GO:0032991, GO:0043507, GO:0045766, GO:0060090, GO:1900044, GO:1900745, GO:1901224, GO:1902498",A
SASH3_MOUSE,6FXF,Q8K352,"GO:0001782, GO:0002639, GO:0002726, GO:0002821, GO:0005634, GO:0005737, GO:0030890, GO:0032729, GO:0032733, GO:0032743, GO:0032753, GO:0032760, GO:0042098, GO:0042100, GO:0042102, GO:0043367, GO:0043372, GO:0046622, GO:0048873, GO:0051251",A
SAST_HUMAN,4XJV,Q9NV23,"GO:0016297, GO:0051792",A
SAT1_HUMAN,2B3U,P21673,"GO:0001525, GO:0004145, GO:0005829, GO:0006596, GO:0008080, GO:0032918, GO:0042802",A
SAT1_MOUSE,3BJ7,P48026,"GO:0042127, GO:0046208",A
SAT2_HUMAN,2BEI,Q96F10,"GO:0004145, GO:0008080, GO:0032918, GO:0032919, GO:0032920, GO:0042802, GO:0046204",A
SATB1_HUMAN,1YSE,Q01826,"GO:0000122, GO:0000977, GO:0001227, GO:0003690, GO:0005634, GO:0005654, GO:0006325, GO:0016604, GO:0016605, GO:0043565",A
SATB1_MOUSE,4Q2J,Q60611,"GO:0000122, GO:0000785, GO:0000792, GO:0003677, GO:0003682, GO:0003700, GO:0006325, GO:0006338, GO:0006355, GO:0008544, GO:0016363, GO:0042110, GO:0043367, GO:0043374, GO:0050798, GO:0060004, GO:0140297",A
SATB2_HUMAN,1WI3,Q9UPW6,"GO:0000977, GO:0001228, GO:0005654, GO:0045944",A
SAT_CAEEL,8YV7,O17731,GO:0008080,A
SATP_ECOLI,5ZUG,P0AC98,"GO:0005886, GO:0015360, GO:0035433, GO:0071422",A
SATT_HUMAN,7P4I,P43007,"GO:0005254, GO:0005813, GO:0005886, GO:0006865, GO:0006868, GO:0015171, GO:0015180, GO:0015184, GO:0015186, GO:0015193, GO:0015194, GO:0015195, GO:0015808, GO:0015811, GO:0015824, GO:0015825, GO:0015826, GO:0016020, GO:0034589, GO:0034590, GO:0050890, GO:1903812, GO:1904273",A
SAV1_MOUSE,2DWV,Q8VEB2,"GO:0001942, GO:0030216, GO:0035329, GO:0043065, GO:0045600, GO:0046620, GO:0050673, GO:0050680, GO:0060038, GO:0060044, GO:0060412, GO:0060487, GO:0060575, GO:0097283, GO:1902174, GO:2000036",A
SAV_DROME,6BN1,Q9VCR6,"GO:0005829, GO:0007444, GO:0008285, GO:0010212, GO:0035329, GO:0040015, GO:0043065, GO:0045177, GO:0045463, GO:0045464, GO:0045570, GO:0046621, GO:0046666, GO:0048814, GO:0048863, GO:0060090, GO:0072002, GO:0072089, GO:0106037",B
SBCC_ECOLI,6S6V,P13458,"GO:0000014, GO:0004529, GO:0006260, GO:0006274, GO:0006281, GO:0008296, GO:1990238, GO:1990391",C
SBDS_HUMAN,2KDO,Q9Y3A5,"GO:0000922, GO:0001669, GO:0002244, GO:0005634, GO:0005654, GO:0005730, GO:0005737, GO:0005829, GO:0006364, GO:0007052, GO:0008017, GO:0019843, GO:0030282, GO:0030595, GO:0042256, GO:0043022, GO:0048539",A
SBIR1_ARATH,6R1H,Q9SKB2,"GO:0004674, GO:0004713, GO:0031349, GO:0043068, GO:0060862",A
SBMA_ECOLI,7P34,P0AFY6,"GO:0005886, GO:0015291, GO:0015638, GO:0015833, GO:0042803, GO:0042884, GO:0042885, GO:0046677, GO:1904680",A
SBMC_ECOLI,1JYH,P33012,"GO:0006974, GO:0008657, GO:2000104",A
SBNC_STAA8,7CBB,Q2G1N1,"GO:0016881, GO:0019290",A
SBNI_STAA8,5UJE,Q2G1M5,"GO:0016773, GO:0019290",A
SBP92_STRPN,5MLT,A0A0H2UMY0,"GO:0008270, GO:0042803, GO:0051289, GO:0070207",A
